Title,Company Name,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Graphic Designer,CairoCart.com,Cairo,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,Creative,Adobe Photoshop,Adobe Photoshop,Graphic,Graphic,Graphic Design,Motion,None,None,None,None,None,None
Graphic Designer,Samta digital marketing&creative designs,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Creative,Adobe Photoshop,Adobe Photoshop,Adobe illustrator,Adobe illustrator,Adobe Indesign,Digital Marketing,None,None,None,None,None,None
Graphic Designer,Al Nasser Group,Cairo,Egypt,Full Time,Experienced,3.0,8.0,Wuzzuf,Creative,Graphic Design,Graphic Design,Motion,Motion,Adobe illustrator,Arts,None,None,None,None,None,None
Graphic Designer,Cultark,New Cairo,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Creative,Graphic Design,Marketing/PR/Advertising,Graphic Design,Adobe Photoshop,Adobe Illustrator,Design,None,None,None,None,None,None
Graphic Designer - Ceramic Field,Torrecid Egypt SAE,Sheikh Zayed,Egypt,Full Time,Entry Level,0.0,2.0,Wuzzuf,Creative,Arts,Arts,Graphic Design,Graphic Design,Ceramic,Applied Arts,None,None,None,None,None,None
Graphic Designer ( Finalizer),Essel Propapack Misr,Obour City,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,Creative,finalizer,finalizer,Graphic designer,Graphic designer,Adobe illustrator,Adobe Photoshop,None,None,None,None,None,None
Graphic Designer & Video Editor,Multi Commerce,Cairo,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,Creative,graphic designer,graphic designer,Video Editing,Video Editing,Content Creation,Photo Editing,None,None,None,None,None,None
HVAC Technical Office Engineer,EIC Systems,Nasr City,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Creative,Engineering,Engineering - Mechanical/Electrical,Engineering,AutoCAD,Technical Office,Mechanical,None,None,None,None,None,None
Junior Graphic Designer,OTO Courses,Maadi,Egypt,Full Time,Entry Level,1.0,0.0,Wuzzuf,Creative,Adobe illustrator,Adobe illustrator,Adobe Photoshop,Adobe Photoshop,Creative,Design,None,None,None,None,None,None
Junior Graphic Designer ( Photo Editor),Safa International Travel,Dokki,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Creative,Adobe illustrator,Marketing/PR/Advertising,Media/Journalism/Publishing,Adobe Photoshop,Creative,Design,None,None,None,None,None,None
Junior Social Media Designer - Alexandria,Madar Soft,Fleming,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Creative,After Effects,Marketing/PR/Advertising,Media/Journalism/Publishing,Adobe Creative Suite,Graphic Design,Design,None,None,None,None,None,None
Junior UI/ UX Designer,Qmind,Nozha,Egypt,Full Time,Entry Level,0.0,2.0,Wuzzuf,Creative,UI/UX,IT/Software Development,UI/UX,Design,Computer Science,Information Technology (IT),None,None,None,None,None,None
Manicurist,Bliss beauty,Sheikh Zayed,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,Creative,Design,Design,Creative,Creative,None,None,None,None,None,None,None,None
Marketing Manager,Confidential,Obour City,Egypt,Full Time,Manager,10.0,0.0,Wuzzuf,Creative,Marketing,Marketing/PR/Advertising,Media/Journalism/Publishing,Digital Advertising,Online Advertising,Internet Advertising,None,None,None,None,None,None
Mechanical Design Engineer,valves engineering company,Badr City,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Creative,Manufacturing,Manufacturing/Production,Engineering - Mechanical/Electrical,Design,Mechanical Engineering,CAD,None,None,None,None,None,None
Motion Designer,Confidential,Maadi,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,Creative,Design,Design,Behance,Behance,Applied Art,Illustrator,None,None,None,None,None,None
Motion Graphic Designer,Maxab,Cairo,Egypt,Full Time,Experienced,4.0,6.0,Wuzzuf,Creative,Adobe After Effects,Adobe After Effects,Adobe illustrator,Adobe illustrator,Adobe Photoshop,After Effects,None,None,None,None,None,None
Motion Graphic Designer,Confidential,Maadi,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,Creative,Graphic Design,Marketing/PR/Advertising,Graphic Design,Aftereffect,Adobe Photoshop,Animation,None,None,None,None,None,None
Motion Graphic Designer,ATRIC Developments,Heliopolis,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,Creative,Adobe Photoshop,Adobe Photoshop,Adobe illustrator,Adobe illustrator,Graphic Design,Motion,None,None,None,None,None,None
Motion Graphics Designer,Jazeera Paints,10th of Ramadan City,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,Creative,Adobe illustrator,Adobe illustrator,Adobe Photoshop,Adobe Photoshop,Communication,Communication skills,None,None,None,None,None,None
Section Head of Secure Design and Technical Equipment,Nasps,Cairo,Egypt,Full Time,Manager,7.0,10.0,Wuzzuf,Creative,Graphic Design,Media/Journalism/Publishing,Graphic Design,Graphic Web Design,AutoCAD,Secure Design and Technical Equipment,None,None,None,None,None,None
Security Design Engineer,Target Recruitment & HR Solutions,Cairo,Egypt,Full Time,Experienced,5.0,10.0,Wuzzuf,Creative,Information Technology (IT),Engineering - Telecom/Technology,Engineering - Mechanical/Electrical,Communication,Engineering,Security,None,None,None,None,None,None
